diameter_mm,axis_x,axis_y,axis_z,x_mm,y_mm,z_mm
3.40,0.0,0.0,1.0,-103.11,6.4,-0.0
3.40,0.0,0.0,1.0,-103.11,15.6,-0.0
3.40,0.0,0.0,1.0,-75.0,8.0,-0.0
3.40,0.0,0.0,1.0,-25.0,8.0,-0.0
3.40,0.0,0.0,1.0,25.0,8.0,-0.0
3.40,0.0,0.0,1.0,75.0,8.0,-0.0
3.40,0.0,0.0,1.0,103.11,6.4,-0.0
3.40,0.0,0.0,1.0,103.11,15.6,-0.0
3.40,0.0,1.0,0.0,-103.11,0.0,15.64
3.40,0.0,1.0,0.0,103.11,-0.0,15.64
5.40,0.0,1.0,0.0,-0.0,0.0,11.5
